,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
99,"Without Me",Halsey,907712,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
100,"Sweet but Psycho","Ava Max",899759,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
101,Feelings,Lauv,892029,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
102,Bruises,"Lewis Capaldi",891532,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
103,"Lose Control",MEDUZA,889794,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
104,"3 Nights","Dominic Fike",887295,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
105,"Lonely (with Jonas Brothers)",Diplo,881973,https://open.spotify.com/track/4fwo6czG5nvOQMzhOto1ya
106,110,"Capital Bra",881390,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
107,"You Need To Calm Down","Taylor Swift",878158,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
108,"I Wanna Rock (feat. Gunna)",G-Eazy,877341,https://open.spotify.com/track/5bzaS5tAni5oUpW7bWVdtY
109,"Girls Like You (feat. Cardi B)","Maroon 5",876554,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
110,"Que Tire Pa Lante","Daddy Yankee",874999,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
111,"Dancing With A Stranger (with Normani)","Sam Smith",868997,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
112,Suge,DaBaby,867246,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
113,Outnumbered,"Dermot Kennedy",866486,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
114,goosebumps,"Travis Scott",863518,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
115,"Te Quemaste","Manuel Turizo",862013,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
116,"Lucid Dreams","Juice WRLD",851483,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
117,"thank u, next","Ariana Grande",848482,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
118,"Only Human","Jonas Brothers",838252,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
119,"Eastside (with Halsey & Khalid)","benny blanco",837385,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
120,"Keine Liebe",RIN,825075,https://open.spotify.com/track/41wZE5FpxbPaZqXtlmBhPG
121,Valentino,24kGoldn,823808,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
122,"Old Town Road","Lil Nas X",817045,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
123,"Better Now","Post Malone",810157,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
124,Goteo,Duki,810016,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
125,"Calma - Remix","Pedro Capó",809836,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
126,Perfect,"Ed Sheeran",793083,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
127,"Be Honest","Jorja Smith",789022,https://open.spotify.com/track/3IWs9dAwTqN0EFhOIcBDfs
128,"Never Really Over","Katy Perry",786202,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
